Iter Teff logg FeH aFe Vrad Vrot Inst_R logR Dist Av log(lk) log(vol) log(wt) h nc log(z) delta(log(z))
17 5983.42691019 3.68506861827 0.00374967339275 0.372029358133 -330.193518422 217.789102609 15973.268954 0.975231900643 8.01833021356 0.525754593722 -3213096.25278 -0.356447291331 -3213101.2144 4.96187820658 1 -3213101.2144 1539508.01232 
18 5837.56430737 3.44725966314 0.16659260114 0.188662434807 -50.3150443579 40.128570459 17154.3001687 0.909047830269 12.194650605 4.73527047282 -3182278.01422 -0.376249918627 -3182282.99564 4.98213176057 1 -3182282.99564 1532206.76594 
19 5096.34375908 4.96412655181 0.239124621657 0.32488054218 -332.18380607 20.7596285623 18094.3348848 -1.14580749321 9.40522312144 0.789763391808 -3109802.25951 -0.396052545924 -3109807.26074 5.00091316598 1 -3109807.26074 1501388.52738 
20 5959.11633358 4.87767077038 0.184750279872 0.148489105623 -362.271805339 154.759634115 37620.1001252 -1.36676978824 11.229365332 0.228135955834 -3100645.96296 -0.41585517322 -3100650.98398 5.02115850057 1 -3100650.98398 1428912.77268 
21 6277.04749134 4.64116440024 0.15887948687 0.223524063596 369.240035731 213.357005439 31009.6961893 -0.749016883073 16.6254334598 1.04175656271 -3093218.93572 -0.435657800516 -3093223.97654 5.04140154598 2 -3093223.97654 1419756.47612 
22 5763.62621388 3.26108697739 -0.0160819756904 0.207686081862 373.475482569 209.686704813 38946.7588879 2.81863050865 9.04506551556 1.59761552422 -3091919.64777 -0.455460427812 -3091924.7084 5.0602046987 1 -3091924.7084 1412329.44888 
23 5739.62050042 3.34366018041 -0.217371650183 0.017288839329 199.471760227 162.428549366 15481.5216243 0.347373439075 12.1684176196 0.0614864858987 -3080669.32692 -0.475263055108 -3080674.40736 5.08044782514 2 -3080674.40736 1411030.16093 
24 6271.12975529 4.13402221914 0.19983719365 0.127675744321 381.351202901 92.3171306869 14916.3088533 -1.90851983235 14.5924771798 2.4709171305 -3066634.39796 -0.495065682404 -3066639.49819 5.10068733525 1 -3066639.49819 1399779.84009 
25 5572.80153625 4.93802897095 -0.0400993893183 0.397220810155 340.19112149 48.5684340046 25219.2598972 -1.83560352042 7.91430257664 1.9986221819 -3057210.13122 -0.514868309701 -3057215.25126 5.11950055836 1 -3057215.25126 1385744.91112 
26 6183.60566963 4.03539002686 0.171088110407 0.367375759023 354.401257073 76.7016086411 19589.8486004 1.40317722634 18.2027462695 0.448920524147 -3055301.4585 -0.534670936997 -3055306.59834 5.13973885635 1 -3055306.59834 1376320.64438 
27 5710.59617922 4.16848869971 -0.0151249839795 0.108692319917 232.589584792 121.866460515 12428.35639 1.31982122523 11.8696467393 4.44788033824 -3042297.09566 -0.554473564293 -3042302.2553 5.15997540066 1 -3042302.2553 1374411.97166 
28 5556.27955916 3.61131161736 -0.0941232525908 0.233620105826 326.075579015 142.230138042 23506.1402503 1.82260884236 16.2418824936 0.50422866313 -3030669.90706 -0.574276191589 -3030675.08651 5.17879732093 4 -3030675.08651 1361407.60882 
29 5309.10339209 3.62400463203 0.129581526308 0.379525273318 -274.878351407 34.8036949124 32460.05338 2.10974351091 14.9401200442 2.64873342395 -2991408.14966 -0.594078818885 -2991413.34891 5.19903458701 3 -2991413.34891 1349780.42022 
30 5300.99770946 4.11350482196 -0.133017004335 0.381234694563 305.754274095 59.5935402157 37305.8143591 1.69744108433 12.8534821164 2.03178228001 -2981430.85275 -0.613881446182 -2981436.0718 5.21926273918 3 -2981436.0718 1310518.66283 
31 5209.08461702 3.14933373939 0.0473129580146 0.0674914512076 375.393267817 27.3764201497 33132.7737981 -1.20809702741 12.6365770566 4.22701638467 -2963982.92491 -0.633684073478 -2963988.16376 5.23948645452 2 -2963988.16376 1300541.36591 
32 5452.4662231 3.7568929963 -0.0603089350113 0.214555363 380.210304121 73.3723235399 36457.0162561 -1.23879440145 16.2291496298 1.96582530916 -2929202.09657 -0.653486700774 -2929207.35522 5.25833501527 2 -2929207.35522 1283093.43807 
33 6419.73614499 3.06468428635 0.0227938951401 0.138886136391 33.4819076292 141.552252297 27971.9037264 2.44414605408 5.97235874136 3.09444898282 -2926856.76639 -0.67328932807 -2926862.04485 5.27855493408 3 -2926862.04485 1248312.60973 
34 5968.64203198 3.30219034693 0.145322516008 0.380231854956 -162.39142342 96.6371000903 39205.5509106 2.30103470731 17.0564737827 4.32162983687 -2918859.83557 -0.693091955366 -2918865.13384 5.29877319513 1 -2918865.13384 1245967.27955 
35 5148.64984593 3.42788153694 -0.154202622894 0.110654821366 -231.124838479 238.114300151 26246.7015815 -0.846019863959 8.45310188157 2.61016729182 -2905050.42088 -0.712894582662 -2905055.73895 5.3176345611 1 -2905055.73895 1237970.34874 
36 5794.51379141 3.30378333783 0.235722408925 0.350566305118 -113.683488071 83.9160863417 21247.2580208 1.37329325133 18.3002843911 0.338055707116 -2903321.10329 -0.732697209959 -2903326.44116 5.33785112482 2 -2903326.44116 1224160.93404 
37 6161.2612915 4.37701612273 -0.187822259318 0.0301033877406 129.925611295 126.50355823 10477.4431879 2.73080988502 18.9012778272 2.35303293664 -2887106.72028 -0.752499837255 -2887112.07795 5.35806521215 1 -2887112.07795 1222431.61645 
38 5210.55640862 4.50950790316 -0.0535132629038 0.0744481015896 221.329831225 24.3322289349 31764.3977305 -1.18960097433 6.01005237085 1.18708756788 -2884351.28145 -0.772302464551 -2884356.65892 5.37693530973 4 -2884356.65892 1206217.23345 
39 5242.60573939 3.98878997746 0.132372995618 0.326596976605 -70.1437229907 21.6735775256 35597.0118645 0.650152952589 7.61519111575 4.45354721668 -2856109.32104 -0.792105091847 -2856114.71832 5.3971501505 1 -2856114.71832 1203461.79462 
40 6069.18261154 3.94997004903 0.225373918906 0.287147880326 -118.393940601 178.86873096 36182.5712649 2.11468259471 7.99689267606 3.17783274258 -2850503.22611 -0.811907719143 -2850508.64319 5.41735917795 3 -2850508.64319 1175219.8342 
41 5572.86999014 4.55287427874 0.100484057368 0.149665972325 -296.641388358 186.374612603 33717.0256439 -1.98456997434 7.23206730299 1.32375170685 -2843027.30152 -0.83171034644 -2843032.7384 5.43624226889 4 -2843032.7384 1169613.73927 
42 6114.88054785 4.93130735291 -0.193153763679 0.248991381602 21.6064563448 239.909453114 40270.9423805 -0.0940853089558 18.7483822794 2.85904874728 -2841882.92821 -0.851512973736 -2841888.38489 5.4564500791 2 -2841888.38489 1380666.27048 
43 5122.58853108 4.25658526842 -0.241050604862 0.298792221824 -312.118046431 176.690408907 20428.6855349 0.334273260161 10.0440181925 4.29926079844 -2822727.49911 -0.871315601032 -2822732.9756 5.47665647464 2 -2822732.9756 1379521.89717 
44 5655.72370267 3.24216077268 0.159882126271 0.0653144274532 -141.101277147 176.167900388 15444.5703944 -0.460677480854 10.6536568601 4.535356475 -2820382.58963 -0.891118228328 -2820388.08592 5.49686082266 1 -2820388.08592 1360366.46808 
45 5554.89840962 3.47800013784 0.000561774797289 0.204488586956 -205.814701653 56.0663439769 39968.8574395 -1.80567592268 9.90412961949 0.0906625717494 -2819315.44025 -0.910920855624 -2819320.95634 5.51575209806 5 -2819320.95634 1358021.55859 
46 5248.14550154 3.99567548303 -0.177800210781 0.260514195494 348.590897711 153.25569534 31080.3853955 -0.21154363665 10.9375356978 3.6662101198 -2807564.25974 -0.93072348292 -2807569.79564 5.53595617367 1 -2807569.79564 1356954.40921 
47 5546.08482827 3.8943439024 0.0716860939664 0.12097689537 -100.147768603 158.871989771 40063.5646879 -0.565747382024 11.8571994119 4.53387668209 -2766377.27873 -0.950526110217 -2766382.83442 5.55615205178 2 -2766382.83442 1345203.22871 
48 5795.55974526 3.72456125409 -0.140026132265 0.282494206132 169.512076286 276.973234028 32656.4234884 1.61686248183 19.6725562538 3.46508845579 -2753127.30043 -0.970328737513 -2753132.87593 5.57506275177 4 -2753132.87593 1304016.24769 
49 5568.10567814 4.6581178449 0.141458559489 0.381130627358 385.875975869 49.4704259793 41129.0565506 2.95221853846 5.74135114386 2.47761530796 -2723773.46328 -0.990131364809 -2723779.05859 5.5952581265 12 -2723779.05859 1431740.95194 
50 6342.58566539 3.8052385808 0.211401843996 0.275955469284 -15.8182951992 135.660092758 32063.1415402 2.43959055665 12.3640370832 1.22155067256 -2709686.13636 -1.00993399211 -2709691.75147 5.61544706766 1 -2709691.75147 1402387.11479 
51 5784.90645605 3.96021280757 -0.140139731729 0.0792734957574 117.360522822 24.7870474832 30225.3571939 -0.582343240531 11.0438150925 2.85332778483 -2697880.9057 -1.0297366194 -2697886.5406 5.63437631121 1 -2697886.5406 1388299.78787 
52 6136.93097793 4.49229334688 0.179926957297 0.039348712497 -56.999491947 293.955386554 32361.8924818 1.80679417112 19.1373090941 0.418957552485 -2689139.43965 -1.0495392467 -2689145.09436 5.65456381906 2 -2689145.09436 1376494.55721 
53 5125.66599071 4.64606085973 -0.114028335759 0.175426079959 -258.984753523 195.091157657 29086.8591516 2.41117139875 7.7741987003 1.31120448086 -2641730.22867 -1.06934187399 -2641735.90318 5.67474542093 1 -2641735.90318 1367753.09116 
54 5051.29753501 4.41273902093 -0.129619197092 0.189823027668 -245.922234817 106.96272429 33909.8136277 1.84642966928 12.2836977493 0.349103646443 -2640201.45238 -1.08914450129 -2640207.14669 5.69492410263 5 -2640207.14669 1320343.88018 
55 5058.3274541 3.7449129642 -0.07970044848 0.04690949972 -132.682762069 166.547736828 28477.3163452 0.726320066305 18.1188100249 4.10665820332 -2603694.1283 -1.10894712859 -2603699.84242 5.71387685183 2 -2603699.84242 1318815.10389 
56 5306.87518286 4.53299286586 0.00224337054695 0.0605341510309 356.604293981 238.280980604 35052.0619457 1.16571265404 6.84291614656 4.06175178204 -2600712.32202 -1.12874975588 -2600718.05594 5.7340503172 8 -2600718.05594 1282307.77981 
57 5080.56062046 3.91204897004 0.0422300786383 0.137145950659 -238.484276692 120.700786006 16477.22852 -1.06089668291 10.7503139734 1.49397309811 -2566991.86455 -1.14855238318 -2566997.61828 5.75421701185 5 -2566997.61828 1279325.97353 
58 5324.96955364 4.22207045951 0.0256974332359 0.311778485587 377.721072645 154.130682872 24353.2793832 0.604608706904 11.1581598687 2.74953490497 -2546802.94956 -1.16835501047 -2546808.72308 5.77319268463 2 -2546808.72308 1245605.51606 
59 5002.73332771 4.53494540831 0.241811297925 0.0158969329605 -8.30371651619 4.19480148857 30328.8466194 1.80124088717 17.5366256443 1.97637955173 -2537592.95076 -1.18815763777 -2537598.74409 5.79335808381 1 -2537598.74409 1225416.60107 
60 5631.0075097 4.52351412765 0.144002077986 0.373090731394 -125.825327354 170.802145276 14798.3877801 -0.175068099837 18.1357101057 3.39302222439 -2523628.0594 -1.20796026507 -2523633.87253 5.81352012418 2 -2523633.87253 1216206.60227 
61 5809.81799656 4.2436719938 0.181783888762 0.0629320671701 -111.537278724 292.228265551 24962.732632 0.577873916015 10.9098233312 3.05100068188 -2522476.05829 -1.22776289236 -2522481.89122 5.83250736957 2 -2522481.89122 1202241.71091 
62 5670.56488374 3.89554794146 -0.129183933649 0.273631082283 139.030944807 51.6322878022 25746.1279144 0.922757747538 15.6307878337 4.56505554252 -2517455.42945 -1.24756551966 -2517461.28219 5.85266954405 1 -2517461.28219 1201089.7098 
63 5504.90765575 3.97977880077 0.144054887074 0.379763151178 15.4751084631 22.1533587628 36406.185095 1.45943726108 19.6046013584 0.283651877569 -2509414.04096 -1.26736814696 -2509419.9135 5.87282993691 2 -2509419.9135 1196069.08096 
64 5241.27182635 4.5628134063 0.212281482931 0.0143089896526 -248.60519209 149.759637223 11846.0013321 0.842156319581 7.99361792719 2.08556172289 -2499326.22769 -1.28717077425 -2499332.12003 5.89182366943 3 -2499332.12003 1188027.69247 
65 5929.30139489 4.04892805895 -0.224026287535 0.227576719547 56.5111969192 125.773705313 22000.979389 1.34655307198 17.6448728386 1.65541283303 -2479963.26698 -1.30697340155 -2479969.17912 5.91198366182 1 -2479969.17912 1177939.8792 
66 5487.58589134 3.31758268289 0.0498582090809 0.276186102941 -107.626835983 239.467954676 30917.6208261 1.12817802624 7.17759889724 3.7775406936 -2474445.07824 -1.32677602884 -2474451.01018 5.93213921646 4 -2474451.01018 1158576.91849 
67 6306.22314145 3.04428139796 -0.128491849366 0.396070242305 60.6346347494 82.7961683169 28622.6417771 1.63610155684 12.3831530869 4.48589076588 -2450675.14295 -1.34657865614 -2450681.0947 5.95228917431 1 -2450681.0947 1153058.72975 
68 5438.77067534 3.95396329734 0.0212087797597 0.141921698065 240.869373535 187.073185996 26700.3907802 -0.544819476848 16.6541516604 4.71679404585 -2445674.84587 -1.36638128344 -2445680.81742 5.97130031604 2 -2445680.81742 1129288.79446 
69 5867.12480777 3.70005357852 0.167542141548 0.207000612194 -51.732520024 242.613055905 16897.7982639 0.54075466328 9.6919471481 1.10212586183 -2433997.33852 -1.38618391073 -2434003.32987 5.9914509505 4 -2434003.32987 1124288.49738 
70 5050.66857478 3.72533608448 0.222117604305 0.158850511602 -336.42039027 256.858079194 17371.3380091 1.79030901411 8.36120164106 0.932421326789 -2424202.17679 -1.40598653803 -2424208.18795 6.01159860054 7 -2424208.18795 1112610.99003 
71 5518.42297505 3.80619273304 -0.118550032343 0.156542956501 133.418784123 42.7404243269 25878.8072128 0.92284042309 6.55093508136 1.39275141098 -2420986.7386 -1.42578916532 -2420992.76956 6.03061823733 1 -2420992.76956 1102815.8283 
72 5092.20128488 3.54027910611 0.103761050114 0.0503372706983 -173.842171855 273.683093038 23195.3916989 -1.76781564715 6.21730646748 2.9987911158 -2414901.66328 -1.44559179262 -2414907.71404 6.0507658096 2 -2414907.71404 1099600.39011 
73 5546.87502073 3.84909177487 -0.0296823923035 0.284919784131 218.096270624 290.612725216 28430.2245356 -1.99099036132 10.3276661612 1.73567275498 -2396529.72081 -1.46539441992 -2396535.79137 6.07090987731 4 -2396535.79137 1093515.31479 
74 6313.89451252 4.09320229885 0.102547823367 0.307697145921 28.1352123948 97.8648047996 28997.3983525 -1.85115160954 12.2510197984 3.29589537332 -2395057.00937 -1.48519704721 -2395063.09974 6.0899382676 8 -2395063.09974 1436171.93698 
75 5926.10556777 4.62239933507 0.194465137265 0.27888781293 -75.359619736 206.538976708 10324.0499896 -0.890214668514 11.1449602855 4.10868053778 -2383345.97058 -1.50499967451 -2383352.08075 6.11008258304 1 -2383352.08075 1434699.22554 
76 5842.09224769 4.49754887302 0.209730988398 0.0103340521677 -52.8883207184 295.265538719 18237.8114067 0.673898259851 15.7760423249 3.4095931741 -2376563.59464 -1.52480230181 -2376569.72461 6.13022408355 9 -2376569.72461 1422988.18675 
77 5467.28526426 4.94458636476 0.121161744231 0.00800567919903 335.110999776 282.734339373 30893.2167287 1.46892603279 19.6771157496 3.49406273508 -2362784.76372 -1.5446049291 -2362790.9135 6.14926165715 16 -2362790.9135 1416205.81081 
78 5076.89699985 4.51258779224 0.0168977623968 0.164746435114 370.261084051 217.101677797 10776.9682059 0.708650769401 7.70244942645 4.89463503085 -2329254.49853 -1.5644075564 -2329260.66811 6.16940345475 4 -2329260.66811 1402426.9799 
79 5280.21472406 4.61345589062 0.157626683236 0.111657483591 -194.930920508 290.533478077 16708.7353691 0.671530235512 16.4251790019 4.74690825507 -2313951.04663 -1.58421018369 -2313957.23601 6.18953693099 6 -2313957.23601 1368896.7147 
80 5925.01038477 4.92056778985 -0.177894891837 0.178327772015 135.589677846 127.811448282 41270.7677045 0.536284601452 19.561740467 2.62413374394 -2313867.45656 -1.60401281099 -2313873.66574 6.20966924401 14 -2313873.66574 1353593.2628 
81 5073.27523596 4.6448914077 0.199229459696 0.381415294353 -287.716461633 180.340077637 20449.0716317 1.38823059051 17.7247274628 3.93452428396 -2289148.63731 -1.62381543829 -2289154.86629 6.22872687876 2 -2289154.86629 1353509.67273 
82 5227.48251926 4.03679500834 -0.193379574703 0.195906267161 -30.1257605409 158.783984203 25225.3591773 -1.65637778671 8.11024623501 0.91178815446 -2286737.62589 -1.64361806558 -2286743.87468 6.24885560432 9 -2286743.87468 1328790.85348 
83 6068.14782977 4.19990783278 0.200650550625 0.211558769019 15.1732991369 170.269626777 31680.9672484 -0.563546140581 8.1413405592 3.18079990018 -2267203.23176 -1.66342069288 -2267209.50035 6.26898069913 5 -2267209.50035 1326379.84206 
84 5298.97305149 4.10281187424 0.000418132912512 0.117305669415 -74.027474419 209.367980854 20019.7257152 -1.54727726112 13.4998447511 1.72218767057 -2257455.18924 -1.68322332018 -2257461.47763 6.2880520951 1 -2257461.47763 1451480.37022 
85 5460.45554215 4.41831812247 0.0493140445717 0.174753707843 -72.3700590939 205.316361774 15364.7212144 1.5846088915 10.7435950226 1.126131285 -2251083.01523 -1.70302594747 -2251089.32343 6.3081764318 7 -2251089.32343 1515739.7382 
86 5496.85505871 3.2959810763 -0.0318404726792 0.356630562072 -8.05518211841 186.337313298 23901.4047235 -0.0520632308951 7.89011223863 3.99486118661 -2246440.06964 -1.72282857477 -2246446.39763 6.32829918386 16 -2246446.39763 1509367.56419 
87 5384.65505232 3.81397374385 0.188176973402 0.190352634596 -83.6136985432 192.716628565 17621.8313893 2.20627373478 19.0575065113 4.42449905805 -2231329.92168 -1.74263120206 -2231336.26948 6.34737867862 2 -2231336.26948 1504724.6186 
88 5172.96766459 4.22718805141 0.000176978211985 0.200786501498 -122.377261446 241.728022783 23333.5327845 -0.460935921155 14.0913770315 2.75939659212 -2225245.50656 -1.76243382936 -2225251.87416 6.3674995224 18 -2225251.87416 1489614.47064 
89 5075.91260142 3.75566285042 -0.0576123289607 0.230590767866 297.95839331 267.398557872 38787.8197661 -1.14550332851 5.1302386683 1.89204649606 -2192566.03449 -1.78223645666 -2192572.4219 6.38761609234 4 -2192572.4219 1483530.05552 
90 5468.31094014 3.5340624125 -0.00352971318999 0.317741096609 145.191736688 227.671120955 40978.1981123 -0.229453289791 11.8153023903 1.77201418858 -2155543.59431 -1.80203908395 -2155550.00152 6.40671856282 5 -2155550.00152 1450850.58345 
91 5112.26243154 4.95576553879 -0.0479805828907 0.298883068161 -143.865580787 235.08629511 38450.7186102 -0.994252341704 13.0485950635 3.78419062632 -2149226.82954 -1.82184171125 -2149233.25655 6.42682886077 6 -2149233.25655 1413828.14327 
92 5278.60300252 4.24193795615 0.0934036814318 0.0890603181852 -107.467167356 278.146266689 38997.199353 0.457806866616 12.1095231491 0.870154790811 -2149084.12933 -1.84164433854 -2149090.57615 6.44693771238 7 -2149090.57615 1407511.3785 
93 5102.72802828 3.29675390706 -0.0221092522444 0.311997090761 243.763102207 203.047034036 11359.310769 0.155785103396 9.60620985459 2.2561624022 -2145503.47155 -1.86144696584 -2145509.93817 6.46704583662 24 -2145509.93817 1407368.67829 
94 5299.31701077 3.64130737407 0.101719431318 0.108964784714 -46.5303770142 207.212364143 33315.6768786 2.61302981956 10.9066126126 2.32717333441 -2131446.86851 -1.88124959314 -2131453.35493 6.48615682311 4 -2131453.35493 1403788.02051 
95 5631.73270157 3.85021436768 0.161244623258 0.157653558125 20.8710117326 223.16224603 26597.1491794 -0.0700201256572 7.28253271566 4.62135633171 -2130071.79621 -1.90105222043 -2130078.30243 6.50626312336 11 -2130078.30243 1389731.41748 
96 5801.00515309 4.82411406994 0.165313092243 0.312614741921 226.065547578 248.608253597 27505.638284 -0.109094938575 19.5378006101 4.76166576481 -2121512.9198 -1.92085484773 -2121519.44582 6.52636787156 11 -2121519.44582 1388356.34517 
97 5084.13121462 3.06954619097 0.16984791057 0.00228803852925 -66.5215326139 190.98489483 21388.8916778 1.74966511996 13.4283301535 2.81833358192 -2107726.66659 -1.94065747503 -2107733.21241 6.54548710352 9 -2107733.21241 1379797.46876 
98 5035.00436187 4.20619926648 0.186764830328 0.178487859186 -76.2786002464 151.514044634 31465.7946301 1.31283325601 18.9603567944 0.993546326907 -2103663.21981 -1.96046010232 -2103669.78544 6.5655901283 6 -2103669.78544 1366011.21555 
99 5562.45837936 3.73202295649 0.133196292441 0.315378798319 15.7149178663 245.230892058 29512.117264 2.56757498553 13.1721113357 4.27520525931 -2099807.88342 -1.98026272962 -2099814.46885 6.5856920206 1 -2099814.46885 2046038.25785 
100 5268.301098 3.90551127022 0.118024368436 0.37331034434 194.985360438 113.471530377 20767.3811204 -0.546943747553 16.2829322229 0.328809342472 -2090767.77825 -2.00006535691 -2090774.38348 6.60530464072 3 -2090774.38348 2042182.92146 
101 6108.45252748 4.77623628341 -0.023339163764 0.315097757508 130.230357699 86.5438812277 38743.553033 2.35257747344 15.1259932288 1.01640971205 -2082447.28225 -2.01986798421 -2082453.90729 6.6249188534 18 -2082453.90729 2033142.81629 
102 5572.39596036 3.92788676473 0.153877565327 0.292553084484 33.3162479427 269.999078585 14805.4914031 0.922380776063 9.93083546629 1.93701156226 -2063611.16554 -2.03967061151 -2063617.81039 6.64501659386 1 -2063617.81039 2024822.32029 
103 5438.32682744 3.9244169412 -0.107008566439 0.272566452509 88.6314050992 184.87316789 38506.6034508 -1.47488102348 12.1500733982 0.992085082031 -2052505.20035 -2.0594732388 -2052511.86499 6.66463284078 7 -2052511.86499 2005986.20359 
104 5459.71959442 3.74587516572 -0.0669013474143 0.111892242215 141.365165431 104.781168417 24105.1188151 2.41056809609 5.98470701457 4.00129994749 -2051941.73302 -2.0792758661 -2051948.41747 6.68425008701 13 -2051948.41747 1994880.23839 
105 5905.82489731 4.0300644062 -0.217430747381 0.102050297749 57.9498982493 35.8682334616 33006.5209991 -0.147779731887 16.9558567903 4.50071702089 -2039783.2161 -2.0990784934 -2039789.92035 6.70434451429 2 -2039789.92035 1994316.77107 
106 5429.43942266 3.32650291842 0.186081208244 0.338491086497 215.864232245 223.409572894 21575.4434493 -0.753117011705 13.4486601172 2.08158118251 -2038213.96792 -2.11888112069 -2038220.69198 6.72396292468 2 -2038220.69198 1982158.25415 
107 5277.69673629 4.05810401136 0.0766180155641 0.0940689532858 -18.3375281168 293.530628698 24044.7481858 1.88713675402 17.5159208295 1.36475728231 -2034579.7379 -2.13868374799 -2034586.48176 6.74405560666 6 -2034586.48176 1980589.00597 
108 5178.26852996 4.18143261807 0.0712687602153 0.0125758925991 -61.2002682421 297.935615888 23901.7012155 0.885301346627 12.1006501251 0.97810991621 -2018558.35948 -2.15848637528 -2018565.12313 6.76367427828 11 -2018565.12313 1976954.77595 
109 5315.47058667 4.99294010678 0.129700667069 0.0690280071888 289.448682829 270.155074798 12812.0271003 -1.56384988533 9.14095953304 2.3927467065 -2013901.1464 -2.17828900258 -2013907.92986 6.78329491778 12 -2013907.92986 1960933.39752 
110 5506.92573948 4.68299937893 -0.0490477758952 0.342224035748 -10.6693488577 186.304966471 17833.7819521 0.946176104609 16.3550740709 2.44984786674 -2003393.9709 -2.19809162988 -2003400.77416 6.80338385561 2 -2003400.77416 1956276.18444 
111 5160.49020254 3.71864868719 0.000580070231556 0.319451029405 -53.3942653484 274.811108634 34626.9397222 1.1904996129 18.2626210333 4.10621571025 -1995070.48199 -2.21789425717 -1995077.30505 6.82300573029 8 -1995077.30505 1945769.00894 
112 5364.75678438 4.78509468409 0.126391431817 0.190452467356 232.006272241 191.152761106 30276.4235529 2.48502208128 6.60321599637 1.2852419737 -1994526.11205 -2.23769688447 -1994532.95491 6.84309256403 37 -1994532.95491 1937445.52003 
113 6035.42576679 4.58777899196 -0.157714019967 0.322457286571 94.0746660764 90.2552710181 19358.7475795 -1.56086687627 10.6105711157 1.7033124634 -1986371.05406 -2.25749951176 -1986377.91673 6.86271480983 13 -1986377.91673 1936901.15009 
